abbrev,name,established,GPS.value_first,longitude_first,point_palladio_first,latitude_first,siegeLabel.value_first
ICFTU,International Confederation of Free Trade Unions,1949-12-01,POINT(4.3525 50.846666666),4.3525,"50.846666666, 4.3525",50.846666666,Brussels
Interpol,International Criminal Police Organization,1956-06-13,POINT(4.841388888 45.758888888),4.841388888,"45.758888888, 4.841388888",45.758888888,Lyon
IDA,International Development Association,1960-01-26,POINT(-77.036666666 38.895),-77.036666666,"38.895, -77.036666666",38.895,"Washington, D.C."
IEA,International Energy Agency,1974-11-15,POINT(2.351388888 48.856944444),2.351388888,"48.856944444, 2.351388888",48.856944444,Paris
IFRCS,International Federation of Red Cross and Red Crescent Societies,1919-05-05,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
IFC,International Finance Corporation,1955-05-25,POINT(-77.036666666 38.895),-77.036666666,"38.895, -77.036666666",38.895,"Washington, D.C."
IFAD,International Fund for Agricultural Development,1974-11-01,POINT(12.482777777 41.893055555),12.482777777,"41.893055555, 12.482777777",41.893055555,Rome
ILO,International Labor Organization,1919-04-11,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
IMO,International Maritime Organization,1958-03-17,POINT(-0.1275 51.507222222),-0.1275,"51.507222222, -0.1275",51.507222222,London
Inmarsat,International Mobile Satellite Organization,1976-09-03,,,,,
IMF,International Monetary Fund,1944-07-22,POINT(-77.036666666 38.895),-77.036666666,"38.895, -77.036666666",38.895,"Washington, D.C."
IOC,International Olympic Committee,1894-06-23,POINT(6.633333333 46.533333333),6.633333333,"46.533333333, 6.633333333",46.533333333,Lausanne
IOM,International Organization for Migration,1951-12-05,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
ISO,International Organization for Standardization,1947-02-01,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
ICRM,International Red Cross and Red Crescent Movement,1928-01-01,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
ITU,International Telecommunication Union,1932-12-09,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
Intelsat,International Telecommunications Satellite Organization,1971-08-20,POINT(6.132777777 49.610555555),6.132777777,"49.610555555, 6.132777777",49.610555555,Luxembourg
IDB,Islamic Development Bank,1973-12-15,POINT(39.172777777 21.542777777),39.172777777,"21.542777777, 39.172777777",21.542777777,Jeddah
LAES,Latin American Economic System,1975-10-17,POINT(-66.933333333 10.5),-66.933333333,"10.5, -66.933333333",10.5,Caracas
LAIA,Latin American Integration Association,1980-08-12,POINT(-56.166666666 -34.866944444),-56.166666666,"-34.866944444, -56.166666666",-34.866944444,Montevideo
MTCR,Missile Technology Control Regime,1987-04-16,,,,,
NAM,Nonaligned Movement,1961-09-01,POINT(106.8294444 -6.18638889),106.8294444,"-6.18638889, 106.8294444",-6.18638889,Central Jakarta
NC,Nordic Council,1952-03-16,POINT(12.568888888 55.676111111),12.568888888,"55.676111111, 12.568888888",55.676111111,Copenhagen
NIB,Nordic Investment Bank,1975-12-04,POINT(24.93417 60.17556),24.93417,"60.17556, 24.93417",60.17556,Helsinki
ANC,North Atlantic Cooperation Council,1991-11-08,,,,,
NATO,North Atlantic Treaty Organization,1949-09-17,POINT(4.3525 50.846666666),4.3525,"50.846666666, 4.3525",50.846666666,Brussels
EN,Nuclear Energy Agency,1958-01-01,POINT(2.241388888 48.835277777),2.241388888,"48.835277777, 2.241388888",48.835277777,Boulogne-Billancourt
NSG,Nuclear Suppliers Group,,,,,,
OECD,Organization for Economic Cooperation and Development,1960-12-14,,,,,
OSCE,Organization for Security and Cooperation in Europe,1995-01-01,POINT(16.3665 48.21),16.3665,"48.21, 16.3665",48.21,Q2047146
OAU,Organization of African Unity,1963-05-25,,,,,
OAS,Organization of American States,1948-04-30,POINT(-77.036666666 38.895),-77.036666666,"38.895, -77.036666666",38.895,"Washington, D.C."
OAPEC,Organization of Arab Petroleum Exporting Countries,1968-01-09,POINT(47.6 29.166667),47.6,"29.166667, 47.6",29.166667,Kuwait
OECS,Organization of Eastern Caribbean States,1981-06-18,,,,,
OPEC,Organization of Petroleum Exporting Countries,1960-09-14,,,,,
OIC,Organization of the Islamic Conference,1969-09-22,,,,,
PFP,Partnership for Peace,1994-01-10,POINT(4.426111111 50.879305555),4.426111111,"50.879305555, 4.426111111",50.879305555,NATO Headquarters
PCA,Permanent Court of Arbitration,1899-07-29,POINT(4.3175 52.084166666),4.3175,"52.084166666, 4.3175",52.084166666,The Hague
RG,Rio Group,1988-01-01,POINT(-58.0 -23.5),-58.0,"-23.5, -58.0",-23.5,Paraguay
SAARC,South Asian Association for Regional Cooperation,1985-12-08,POINT(85.366666666 27.716666666),85.366666666,"27.716666666, 85.366666666",27.716666666,Kathmandu
SPC,South Pacific Commission,1947-02-06,POINT(166.45 -22.266666666),166.45,"-22.266666666, 166.45",-22.266666666,Noumea
SPF,South Pacific Forum,1971-08-05,POINT(178.433333333 -18.133333333),178.433333333,"-18.133333333, 178.433333333",-18.133333333,Suva
Sparteca,South Pacific Regional Trade and Economic Cooperation Agreement,1981-01-01,POINT(178.433333333 -18.133333333),178.433333333,"-18.133333333, 178.433333333",-18.133333333,Suva
SACU,Southern African Customs Union,1969-12-11,POINT(17.083611111 -22.57),17.083611111,"-22.57, 17.083611111",-22.57,Windhoek
SADC,Southern African Development Community,1992-08-17,POINT(25.908611111 -24.656944444),25.908611111,"-24.656944444, 25.908611111",-24.656944444,Gaborone
Mercosur,Southern Cone Common Market,1991-03-26,POINT(-56.166666666 -34.866944444),-56.166666666,"-34.866944444, -56.166666666",-34.866944444,Montevideo
UN,United Nations,1945-06-26,POINT(-73.968055555 40.749444444),-73.968055555,"40.749444444, -73.968055555",40.749444444,Q11297
UNAVEM III,United Nations Angola Verification Mission,1988-12-20,,,,,
UNAMIR,United Nations Assistance Mission for Rwanda,1993-10-05,POINT(-73.94 40.67),-73.94,"40.67, -73.94",40.67,New York City
UNCRO,United Nations Confidence Restoration Operation in Croatia,1995-03-31,POINT(15.95 45.8),15.95,"45.8, 15.95",45.8,Zagreb
UNDOF,United Nations Disengagement Observer Force,1974-05-31,POINT(38.583333 35.216667),38.583333,"35.216667, 38.583333",35.216667,Syria
UNESCO,"United Nations Educational, Scientific, and Cultural Organization",1945-11-16,,,,,
UNFICYP,United Nations Force in Cyprus,1964-03-04,,,,,
UNIDO,United Nations Industrial Development Organization,1966-11-17,POINT(16.373064 48.20833),16.373064,"48.20833, 16.373064",48.20833,Vienna
UNITAR,United Nations Institute for Training and Research,1963-12-11,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
UNIFIL,United Nations Interim Force in Lebanon,1978-03-19,POINT(35.134166666 33.12),35.134166666,"33.12, 35.134166666",33.12,Naqoura
UNIKOM,United Nations Iraq-Kuwait Observation Mission,1991-04-09,,,,,
UNMOGIP,United Nations Military Observer Group in India and Pakistan,1948-08-13,POINT(73.036944444 33.698888888),73.036944444,"33.698888888, 73.036944444",33.698888888,Islamabad
MINURSO,United Nations Mission for the Referendum in Western Sahara,1991-04-29,POINT(-13.2 27.15),-13.2,"27.15, -13.2",27.15,Laayoune
UNMIH,United Nations Mission in Haiti,1993-09-23,,,,,
UNMOT,United Nations Mission of Observers in Tajikistan,1994-12-16,POINT(68.786388888 38.573055555),68.786388888,"38.573055555, 68.786388888",38.573055555,Dushanbe
UNOMIG,United Nations Observer Mission in Georgia,,POINT(41.015277777 43.003333333),41.015277777,"43.003333333, 41.015277777",43.003333333,Sukhumi
UNOMIL,United Nations Observer Mission in Liberia,1993-09-22,POINT(-10.804722222 6.310555555),-10.804722222,"6.310555555, -10.804722222",6.310555555,Monrovia
UNHCR,United Nations Office of the High Commissioner for Refugees,1949-12-03,,,,,
UNPREDEP,United Nations Preventive Deployment Force,1995-03-31,POINT(21.433333333 41.983333333),21.433333333,"41.983333333, 21.433333333",41.983333333,Skopje
UNPROFOR,United Nations Protection Force,1992-02-28,POINT(15.95 45.8),15.95,"45.8, 15.95",45.8,Zagreb
UNRWA,United Nations Relief and Works Agency for Palestine Refugees in the Near East,1949-12-08,POINT(35.933333333 31.95),35.933333333,"31.95, 35.933333333",31.95,Amman
UNTSO,United Nations Truce Supervision Organization,1948-05-01,POINT(35.036944444 31.753888888),35.036944444,"31.753888888, 35.036944444",31.753888888,Jerusalem District
UNU,United Nations University,1973-12-06,POINT(139.692222222 35.689722222),139.692222222,"35.689722222, 139.692222222",35.689722222,Tokyo
UPU,Universal Postal Union,1874-10-09,POINT(7.44743 46.94798),7.44743,"46.94798, 7.44743",46.94798,Bern
WADB,West African Development Bank,1973-11-14,POINT(1.222777777 6.131944444),1.222777777,"6.131944444, 1.222777777",6.131944444,Lomé
WEU,Western European Union,1954-10-23,POINT(4.3525 50.846666666),4.3525,"50.846666666, 4.3525",50.846666666,Brussels metropolitan area
WCL,World Confederation of Labor,1920-06-19,POINT(4.3525 50.846666666),4.3525,"50.846666666, 4.3525",50.846666666,Brussels
WFTU,World Federation of Trade Unions,1945-10-03,POINT(23.716111111 37.979444444),23.716111111,"37.979444444, 23.716111111",37.979444444,Athens
WHO,World Health Organization,1946-07-22,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
WIPO,World Intellectual Property Organization,1967-07-14,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
WMO,World Meteorological Organization,1947-10-11,POINT(6.15 46.2),6.15,"46.2, 6.15",46.2,Geneva
WToO,World Tourism Organization,1975-01-02,POINT(-3.691944444 40.418888888),-3.691944444,"40.418888888, -3.691944444",40.418888888,Madrid
WTrO,World Trade Organization,1994-04-15,POINT(6.14967 46.2239),6.14967,"46.2239, 6.14967",46.2239,Centre William Rappard
ZC,Zangger Committee,,POINT(16.373064 48.20833),16.373064,"48.20833, 16.373064",48.20833,Vienna
